bin_id,bin_type,address_city,location_latitude,location_longitude,predicted_fill,selected_for_collection,prediction_reason
BIN-015,commercial,Zarqa,32.0736,36.0882,86.39905,True,منطقة تجارية تمتلئ أسرع | آخر قراءة كانت مرتفعة | هناك ارتفاع مستمر في الامتلاء | المتوسط في آخر القراءات مرتفع | متوقع أن تصل إلى 85% أو أكثر وقت الجولة
BIN-011,commercial,Zarqa,32.0729,36.0879,86.19101,True,منطقة تجارية تمتلئ أسرع | آخر قراءة كانت مرتفعة | هناك ارتفاع مستمر في الامتلاء | المتوسط في آخر القراءات مرتفع | متوقع أن تصل إلى 85% أو أكثر وقت الجولة
BIN-012,commercial,Zarqa,32.0731,36.0873,85.546844,True,منطقة تجارية تمتلئ أسرع | آخر قراءة كانت مرتفعة | معدل الامتلاء ارتفع بسرعة | المتوسط في آخر القراءات مرتفع | متوقع أن تصل إلى 85% أو أكثر وقت الجولة
BIN-009,residential_dense,Zarqa,32.0748,36.0898,81.78657,False,منطقة سكنية مكتظة | آخر قراءة كانت مرتفعة | معدل الامتلاء ارتفع بسرعة | المتوسط في آخر القراءات مرتفع
BIN-007,residential_dense,Zarqa,32.0732,36.0901,79.37023,False,منطقة سكنية مكتظة | آخر قراءة كانت مرتفعة | هناك ارتفاع مستمر في الامتلاء | المتوسط في آخر القراءات مرتفع
BIN-004,residential_dense,Zarqa,32.0741,36.0887,77.29198,False,منطقة سكنية مكتظة | آخر قراءة كانت مرتفعة | هناك ارتفاع مستمر في الامتلاء | المتوسط في آخر القراءات مرتفع
BIN-006,residential_dense,Zarqa,32.0738,36.0895,74.8309,False,منطقة سكنية مكتظة | آخر قراءة كانت متوسطة وتميل للارتفاع | هناك ارتفاع مستمر في الامتلاء | المتوسط في آخر القراءات مرتفع
BIN-005,residential_dense,Zarqa,32.0745,36.089,73.24778,False,منطقة سكنية مكتظة | آخر قراءة كانت متوسطة وتميل للارتفاع | هناك ارتفاع مستمر في الامتلاء | المتوسط في آخر القراءات مرتفع
BIN-020,residential_quiet,Zarqa,32.0753,36.0904,57.921246,False,منطقة سكنية هادئة | آخر قراءة كانت متوسطة وتميل للارتفاع | هناك ارتفاع مستمر في الامتلاء
BIN-017,residential_quiet,Zarqa,32.075,36.0896,57.66119,False,منطقة سكنية هادئة | هناك ارتفاع مستمر في الامتلاء
